person,claim,source_url,verdict
albert_nahmad,,,FALSE
alexander_karp,"Palantir DOL discrimination lawsuit (2016), settled 2017 for $1.7M",https://www.dol.gov/newsroom/releases/ofccp/ofccp20170425,TRUE
alice_walton,Fatal car accident (1989); 1998 DWI conviction; 2011 DWI arrest,https://www.nytimes.com/2012/12/01/business/walmart-heiress-quietly-settles-fatal-2011-accident-case.html,PARTIAL
andrew_beal,,,FALSE
andrew_cherng,2021 sexual harassment/battery lawsuit by former employee,https://www.restaurantbusinessonline.com/workforce/panda-express-co-founder-peggy-cherng-facing-sexual-harassment-lawsuit,PARTIAL
aneel_bhusri,PeopleSoft hostile takeover litigation (company-level),https://www.nytimes.com/2004/12/13/business/oracle-buys-peoplesoft-in-deal-valued-at-10.3-billion.html,PARTIAL
anthony_pritzker,Pritzker family trust disputes (1990s-2000s),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/,TRUE
arnold_schwarzenegger,"Groping allegations (2003, 15 women came forward) and paternity scandal (2011)",https://www.voanews.com/a/a-13-a-2003-10-03-19-california-67443037/279015.html,TRUE
avram_glazer,Fan protests and shareholder discontent over Manchester United ownership,https://www.bbc.com/sport/football/56927498,PARTIAL
barbara_tyson,,,FALSE
ben_chestnut,,,FALSE
bert_beveridge,Tito's 'Handmade' labeling lawsuits (8+ class actions filed; cases dropped/dismissed),https://www.thespiritsbusiness.com/2014/10/titos-vodka-faces-another-handmade-lawsuit/,TRUE
bharat_desai,Atos SE lawsuit over hidden liabilities in $3.4B Syntel acquisition; dismissed 2023,https://news.bloomberglaw.com/esg/bharat-desai-must-face-3-4-billion-deal-suit-by-frances-atos,TRUE
bill_gates,US v. Microsoft antitrust (1998-2001); Epstein association controversy,https://law.justia.com/cases/federal/appellate-courts/F3/253/34/576095/,TRUE
bill_gross,Sued PIMCO 2015; settled March 2017 for $81M,https://www.cnbc.com/2017/03/27/bill-gross-settles-lawsuit-against-pimco-for-81-million-sources.html,TRUE
bill_haslam,Pilot Flying J fraud scandal ($92M penalties; employees convicted); Bill not personally charged,https://www.justice.gov/usao-edtn/pr/pilot-flying-j-agrees-pay-92-million-penalty,PARTIAL
bob_parsons,Elephant hunting video controversy (2011),https://www.washingtonpost.com/blogs/faster-forward/post/godaddycom-ceo-faces-backlash-for-elephant-shooting/2011/03/31/AFTwBRBC_blog.html,TRUE
bobby_murphy,Reggie Brown co-founder lawsuit settled 2014 for $157.5M,https://techcrunch.com/2014/09/09/snapchat-finally-settles-lawsuit-with-ousted-co-founder-reggie-brown/,TRUE
brian_armstrong,"SEC lawsuit filed June 2023, dropped Feb 2025",https://www.sec.gov/newsroom/press-releases/2025-47,TRUE
brian_chesky,City regulatory disputes over Airbnb short-term rentals (company-level),https://skift.com/2023/10/04/airbnb-ceo-brian-chesky-cleaning-fees-legal-battles-and-ai-full-video/,TRUE
brian_roberts,,,FALSE
cameron_winklevoss,$65M Facebook settlement; Gemini Earn SEC/AG cases,https://www.sec.gov/newsroom/press-releases/2020-338,TRUE
cargill_macmillan_iii,,,FALSE
carl_icahn,Hindenburg report; SEC charges for disclosure violations (margin loans); stock drop,https://www.cnbc.com/2024/08/19/sec-charges-carl-icahn-with-hiding-billions-worth-of-stock-pledges.html,TRUE
chad_richison,Record compensation ($211M+) drew shareholder criticism,https://www.wsj.com/articles/paycom-ceo-chad-richisons-pay-package-draws-investor-ire,PARTIAL
charles_ergen,TiVo patent lawsuit ($500M settlement 2011),https://www.reuters.com/article/us-tivo-ergen-echostar/echostar-tivo-settle-patent-dispute-for-500-million-idUSBRE8440AZ20120505,PARTIAL
charles_koch,Koch v Koch Industries (settled 2001); EPA $35M fine (2000); $296M private wrongful-death verdict,https://www.epa.gov/enforcement/case-summary-koch-industries-inc-and-subsidiaries,PARTIAL
charles_liang,"SEC charges (2020), $17.5M settlement; DOJ investigation",https://www.sec.gov/newsroom/press-releases/2020-190,TRUE
charles_schwab,"YieldPlus fund lawsuits (2008), $235M settlement for ~250,000 investors",https://www.hbsslaw.com/cases/schwab-yieldplus-funds,TRUE
chris_larsen,SEC sued Ripple Dec 2020; $50M penalty,https://www.sec.gov/newsroom/press-releases/2020-338,TRUE
christopher_reyes,,,FALSE
cliff_asness,,,FALSE
dan_snyder,$60M personal NFL fine after Mary Jo White investigation; sold Commanders 2023 for $6.05B,https://www.nfl.com/news/former-commanders-owner-dan-snyder-to-pay-nfl-60m-following-mary-jo-white-invest,TRUE
daniel_gilbert,Quicken Loans $32.5M DOJ settlement + $3.3M CFPB fine,https://www.detroitnews.com/story/business/2019/06/14/judge-tosses-quicken-loans-justice-department-suit/1454923001/,TRUE
daniel_och,Och-Ziff $213M DOJ + $200M SEC (~$413M total) for Africa bribery conspiracies,https://www.justice.gov/archives/opa/pr/och-ziff-capital-management-admits-role-africa-bribery-conspiracies-and-agrees-pay-213,TRUE
david_baszucki,Child safety concerns and gambling-like Robux mechanics; state AG lawsuits,https://www.texasattorneygeneral.gov/sites/default/files/images/press/Petition_0.pdf,PARTIAL
david_bonderman,Resigned Uber board June 2017 after sexist remark at company meeting,https://www.washingtonpost.com/news/the-switch/wp/2017/06/13/a-top-uber-board-member-just-cracked-a-joke-about-women-at-the-worst-possible-time/,TRUE
david_duffield,,,FALSE
david_einhorn,Allied Capital dispute; Punch Taverns FSA insider trading fine (~$11.6M),https://www.fca.org.uk/news/press-releases/david-einhorn-greenlight-capital-inc-fined-market-abuse,PARTIAL
david_geffen,Target of Anthony Pellicano wiretapping surveillance (at Michael Ovitz's request),https://www.justice.gov/archive/usao/cac/Pressroom/pr2008/123.html,PARTIAL
david_green,Burwell v. Hobby Lobby (2014 SCOTUS); $3M artifact smuggling fine (2017); Gilgamesh Tablet forfeiture,https://www.justice.gov/archives/opa/pr/hobby-lobby-agrees-forfeit-5500-artifacts-and-pay-3-million-penalty,TRUE
david_hindawi,Tanium workplace culture issues (primarily involving son Orion as CEO),https://www.bloomberg.com/news/articles/2017-04-13/tanium-s-family-empire-is-in-crisis,PARTIAL
david_humphreys,Multiple TAMKO shingle class action lawsuits,https://www.classaction.org/tamko-roofing-shingles-lawsuit,TRUE
david_lichtenstein,"Extended Stay Hotels Chapter 11 bankruptcy June 2009, $7.4B debt",https://petergreenberg.com/2009/06/15/extended-stay-hotels-files-for-bankruptcy/,TRUE
denise_debartolo_york,Brother Edward's 1998 guilty plea (Louisiana governor bribery) led to 49ers transfer to Denise in 2000,https://www.washingtonpost.com/archive/sports/1998/10/07/debartolo-pleads-guilty-owes-1-million/a8243605-9b2a-4cd2-a302-60b88df4bc67/,TRUE
dennis_washington,Montana Resources/Berkeley Pit Superfund involvement,https://cumulis.epa.gov/supercpad/SiteProfiles/index.cfm?fuseaction=second.Healthenv&id=0902959,TRUE
don_ahern,Snorkel/Tanfield ownership dispute + legal proceedings in Nevada,https://vertikal.net/en/news/story/34005/ahern-tanfield-dispute-goes-legal,TRUE
don_levin,Republic Brands tobacco industry legal involvement,https://www.cspdailynews.com/tobacco/republic-tobacco-reports-successful-legal-battles,PARTIAL
don_vultaggio,"8-year dispute with co-founder Ferolito; settled 2015, ~$1B buyout",https://www.bevnet.com/news/2015/arizona-iced-tea-co-founders-settle-longstanding-dispute/,TRUE
